group3,nic_div,workers_m
325,70,0.005594693749999999
325,71,0.00609939
325,84,0.0297277475
325,85,0.001092605
325,86,0.14514435875
325,88,0.0027745675
325,97,0.0035907075
331,1,0.0022714049999999998
331,10,0.00397781375
331,41,0.00377870125
331,45,0.00445485
331,47,0.000921575
331,49,0.0042239125
331,55,0.00079033
331,62,0.00198702
331,63,0.003026445
331,64,0.25937930374999996
331,65,0.0043532875000000006
331,66,0.08372068625
331,69,0.015975265
331,70,0.01082883125
331,73,0.0012590675
331,74,0.00593734375
331,82,0.00430249875
331,84,0.0315811025
331,85,0.010962476249999999
331,86,0.00200458125
331,96,0.00148425375
332,1,0.021126710000000003
332,8,0.00047907125
332,10,0.0066557575
332,11,0.0030077212499999995
332,12,0.01366015
332,14,0.01939663875
332,15,0.002458395
332,17,0.0008430112499999999
332,19,0.00265028375
332,21,0.012251934999999999
332,22,0.00765132375
332,23,0.00218983
332,24,0.000607435
332,25,0.00339207375
332,26,0.0028874412499999996
332,27,0.00620829875
332,28,0.00664573375
332,29,0.0037146362499999998
332,30,0.00768407375
332,32,0.02771457625
332,33,0.000090695
332,35,0.0012452825
332,36,0.011957958749999999
332,42,0.007716202499999999
332,45,0.10480882250000001
332,46,0.28403468375
332,47,0.0737976575
332,49,0.0022167424999999996
332,52,0.0029097512500000002
332,53,0.00100425625
332,55,0.00020959374999999998
332,56,0.008977323749999998
332,58,0.00290164125
332,61,0.00173618
332,62,0.008956145
332,63,0.0176147025
332,64,0.16558530875
332,65,0.23960797749999999
332,66,0.16043457625000002
332,68,0.21259964250000002
332,69,0.012760210000000001
332,70,0.0134409375
332,73,0.00431454875
332,74,0.023112353750000002
332,78,0.00175684625
332,79,0.001599555
332,82,0.0154857375
332,84,0.0007735712499999999
332,85,0.013933917499999999
332,86,0.00562769
332,92,0.00950804125
332,95,0.0038416425
332,96,0.00574529875
333,1,0.001168695
333,5,0.0046247862499999995
333,6,0.00274846
333,23,0.00020802125
333,24,0.00472283625
333,30,0.010435219999999999
333,33,0.0052772525
333,35,0.00371679375
333,41,0.06754015124999999
333,42,0.011756007499999999
333,46,0.00971585125
333,47,0.018032404999999998
333,49,0.0058110825
333,52,0.0207674575
333,53,0.00624000125
333,55,0.00199646125
333,56,0.011711651249999998
333,61,0.00101317
333,62,0.0008364125
333,64,0.041921151250000004
333,65,0.013388015000000001
333,66,0.0325352125
333,68,0.36468224625
333,69,0.0186841725
333,74,0.00710605125
333,77,0.00241583625
333,78,0.01735992
333,79,0.00637566875
333,80,0.002089835
333,82,0.02706416
333,85,0.004831186249999999
333,96,0.0031113812499999997
334,1,0.00038178375
334,2,0.00267914375
334,3,0.00041425375
334,10,0.00127995125
334,13,0.0004489075
334,18,0.00094934375
334,19,0.01187795375
334,20,0.00338268625
334,21,0.0022956412499999996
